Metric		Current
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_NEGLIGIBLE_RISK_LOC		1,385
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_NEGLIGIBLE_RISK_PERCENTAGE		64.99
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_NEGLIGIBLE_RISK_COUNT		185
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_LOW_RISK_LOC		558
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_LOW_RISK_PERCENTAGE		26.18
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_LOW_RISK_COUNT		21
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_MEDIUM_RISK_LOC		188
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_MEDIUM_RISK_PERCENTAGE		8.82
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_MEDIUM_RISK_COUNT		5
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASSETS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_CS_NEGLIGIBLE_RISK_LOC		1,385
CONDITIONAL_COMPLEXITY_COMPONENT_CS_NEGLIGIBLE_RISK_PERCENTAGE		64.99
CONDITIONAL_COMPLEXITY_COMPONENT_CS_NEGLIGIBLE_RISK_COUNT		185
CONDITIONAL_COMPLEXITY_COMPONENT_CS_LOW_RISK_LOC		558
CONDITIONAL_COMPLEXITY_COMPONENT_CS_LOW_RISK_PERCENTAGE		26.18
CONDITIONAL_COMPLEXITY_COMPONENT_CS_LOW_RISK_COUNT		21
CONDITIONAL_COMPLEXITY_COMPONENT_CS_MEDIUM_RISK_LOC		188
CONDITIONAL_COMPLEXITY_COMPONENT_CS_MEDIUM_RISK_PERCENTAGE		8.82
CONDITIONAL_COMPLEXITY_COMPONENT_CS_MEDIUM_RISK_COUNT		5
CONDITIONAL_COMPLEXITY_COMPONENT_CS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CS_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_CS_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_CS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_CS_VERY_HIGH_RISK_COUNT		0
FILE_CHANGE_HISTORY_TOTAL_AGE_DAYS		42
FILE_CHANGE_HISTORY_ACTIVE_DAYS		23
FILE_CHANGE_HISTORY_WEEKS		5
FILE_CHANGE_HISTORY_ESTIMATED_WORKING_DAYS		25
FILE_AGE_NEGLIGIBLE_RISK_COUNT		44
FILE_AGE_LOW_RISK_COUNT		8
FILE_AGE_MEDIUM_RISK_COUNT		0
FILE_AGE_HIGH_RISK_COUNT		0
FILE_AGE_VERY_HIGH_RISK_COUNT		0
FILE_AGE_NEGLIGIBLE_RISK_LOC		2,401
FILE_AGE_LOW_RISK_LOC		293
FILE_AGE_MEDIUM_RISK_LOC		0
FILE_AGE_HIGH_RISK_LOC		0
FILE_AGE_VERY_HIGH_RISK_LOC		0
NUMBER_OF_CONTRIBUTORS		7
DUPLICATION_NUMBER_OF_DUPLICATES		0
DUPLICATION_NUMBER_OF_FILES_WITH_DUPLICATES		0
DUPLICATION_NUMBER_OF_DUPLICATED_LINES		0
DUPLICATION_NUMBER_OF_CLEANED_LINES		1,738
DUPLICATION_PERCENTAGE		0
UNIT_DUPLICATES_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_ASSETS		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_ASSETS		0
DUPLICATION_PERCENTAGE_PRIMARY_ASSETS		-
TOTAL_ANALYSIS_TIME_IN_MILLIS		131,177
